######2018-07-16 12:00:09###{"kid":"4","adress":"0","xid":"","price":""}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"31","hospitalname":"\u6b66\u5b89\u9547\u897f\u5173\u8857\u5e0c\u5175\u536b\u751f\u5ba4","hos_phone":"15369058159","hos_address":"\u4f53\u80b2\u8def\u4e1c\u884c80\u7c73\u8def\u5357","hos_pic":"undefined"},{"id":"19","hospitalname":"\u6b66\u5b89\u5e02\u674e\u5b54\u53f6\u5987\u79d1\u8bca\u6240","hos_phone":"15030088558","hos_address":"\u6b66\u5b89\u5e02\u77ff\u5efa\u8def\u7269\u4ef7\u5c40\u4e1c\u884c5\u7c73\u674e\u5b54\u53f6\u5987\u79d1\u8bca\u6240","hos_pic":null},{"id":"5","hospitalname":"\u6b66\u5b89\u9547\u897f\u5173\u8857\u5173\u4e91\u536b\u751f\u5ba4","hos_phone":"0310\u4e005663036","hos_address":"\u6b66\u5b89\u5e02\u5b9e\u9a8c\u5c0f\u5b66\u897f100\u7c73","hos_pic":"Public\/uploads\/hos\/20180413032354.jpg"},{"id":"36","hospitalname":"\u6b66\u5b89\u9547\u767d\u9e64\u89c2\u8857\u5efa\u519b\uff08\u9ad8\u4e8c\u95e8\u8bca\uff09\u536b\u751f\u5ba4","hos_phone":"13831015818","hos_address":"\u6b66\u5b89\u5e02\u5854\u897f\u8def\u4e2d\u6bb5\u9ad8\u67b6\u6865\u4e1c\u884c100\u7c73\u8def\u5357","hos_pic":null},{"id":"156","hospitalname":"\u5927\u540d\u53bf\u8bb8\u79cb\u666f\u536b\u751f\u5ba4","hos_phone":"13012109920","hos_address":"\u90af\u90f8\u5e02\u5927\u540d\u53bf\u9f99\u738b\u5e99\u9547\u56db\u6751","hos_pic":null},{"id":"54","hospitalname":"\u5cf0\u5cf0\u9547\u5546\u8d35\u660e\u536b\u751f\u5ba4","hos_phone":"13832037437","hos_address":"\u90af\u90f8\u5e02\u5cf0\u5cf0\u77ff\u533a\u5cf0\u5cf0\u9547\u8f9b\u5bfa\u5e84\u6751","hos_pic":null},{"id":"163","hospitalname":"\u5927\u540d\u53bf\u738b\u5fd7\u5f3a\u536b\u751f\u5ba4","hos_phone":"13131063236","hos_address":"\u90af\u90f8\u5e02\u5927\u540d\u53bf\u9f99\u738b\u5e99\u9547\u8d75\u7ad9\u4e2d\u5b66\u5317500\u7c73","hos_pic":null},{"id":"162","hospitalname":"\u5927\u540d\u5c24\u5229\u5a1f\u536b\u751f\u5ba4","hos_phone":"18134000015","hos_address":"\u90af\u90f8\u5e02\u5b59\u7518\u5e97\u4e61\u5357\u674e\u5e84\u524d\u6751\u519c\u6751\u4fe1\u7528\u793e\u897f\u884c200\u7c73\u8def\u5317","hos_pic":null},{"id":"164","hospitalname":"\u5927\u540d\u53bf\u674e\u53cc\u5148\u536b\u751f\u5ba4","hos_phone":"13931002695","hos_address":"\u90af\u90f8\u5e02\u5927\u540d\u53bf\u7ef4\u591a\u5229\u4e9a\u5047\u65e5\u9152\u5e97\u65c1","hos_pic":null},{"id":"125","hospitalname":"\u5927\u540d\u53bf\u6539\u4e66\u536b\u751f\u5ba4","hos_phone":"13315022566","hos_address":"\u90af\u90f8\u5e02\u5927\u540d\u53bf\u6768\u6865\u9547\u540e\u6d77\u5b50\u6751","hos_pic":null},{"id":"96","hospitalname":"\u5927\u540d\u53bf\u675f\u9986\u9547\u5f20\u9752\u971e\u536b\u751f\u6240","hos_phone":"13363083208","hos_address":"\u90af\u90f8\u5e02\u5927\u540d\u53bf\u675f\u9986\u9547\u51a2\u5317\u6751","hos_pic":null}]}###{"kid":"4","adress":"0","xid":"","price":""}###null###null###null###null
Collection/posDetil###5a9deca9afd2d###2018-07-16 12:00:11###{"pid":"5"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"5","hos_pic":["Public\/uploads\/hos\/20180413032354.jpg","Public\/uploads\/hos\/20180413032357.jpg"],"hos_phone":"0310\u4e005663036","hospitalname":"\u6b66\u5b89\u9547\u897f\u5173\u8857\u5173\u4e91\u536b\u751f\u5ba4","star":null,"hos_address":"\u6b66\u5b89\u5e02\u5b9e\u9a8c\u5c0f\u5b66\u897f100\u7c73","hos_intro":"\u4e3b\u6cbb\u5fc3\u8111\u8840\u7ba1\u7b49\u75be\u75c5.","mainwork":"\u4e3b\u6cbb:\u5fc3\u8111\u8840\u7ba1,\u8111\u8840\u62f4\u7b49\u75be\u75c5.","equipment":"\u65e0","test":"\u73af\u5883\u536b\u751f\uff0c\u6574\u6d01","charge":"\u6536\u8d39\u5408\u7406,\u8be6\u60c5\u7535\u8bdd\u54a8\u8be2.","ifyibao":"1","ifvisits":"1","video":"..\/..\/Public\/uploads\/video\/\/FastAndroid-mini.mp4","lng":"114.189838","lat":"36.694919","children1":[{"id":"52","pic":"..\/..\/Public\/uploads\/doctor\/\/mrtx.jpg","doctorname":"\u9a6c\u5173\u4e91","jobtitle":"\u533b\u5e08","departmentname":"\u809b\u80a0\u79d1","specialty":"&quot;\u5fc3\u8111\u8840\u7ba1\u75be\u75c5,\u51a0\u5fc3\u75c5,\u5fc3\u7ede\u75db,\u5fc3\u4f9b\u8840\u4e0d\u8db3,\u8111\u6897\u585e\u7b49\u5404\u7c7b\u75be\u75c5.\n&quot;\n","hospitalname":"\u6b66\u5b89\u9547\u897f\u5173\u8857\u5173\u4e91\u536b\u751f\u5ba4"}],"children2":[],"state":"0"}]}###{"pid":"5"}###null###null###null###null
Health/arlist###5a77b9a335d0b###2018-07-16 12:12:35###{"type":"3","page":"1"}###013f0291b166ae89111216b81334997d###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"17","list":[{"id":"15","title":"\u5b69\u5b50\u611f\u5192\u600e\u4e48\u529e\uff1f","content":"&lt;p&gt;\u852c\u83dc\u542b\u6709\u4e30\u5bcc\u7684\u7ef4\u751f\u7d20\uff0c\u5176\u4e2d\u4ee5\u7ef4\u751f\u7d20C\u548c\u7ef4\u751f\u7d20A\u6700\u4e3a\u91cd\u8981\uff0c\u4e0d\u8fc7\u7ef4\u751f\u7d20C\u5728\u70f9\u716e\u65f6\u4f1a\u5927\u91cf\u6d41\u5931\uff0c\u852c\u83dc\u989c\u8272\u8d8a\u6df1\u7eff\u6216\u6df1\u9ec4\uff0c\u542b\u6709\u7684\u7ef4\u751f\u7d20A\u548c\u7ef4\u751f\u7d20C\u5c31\u8d8a\u591a\u3002\u53e6\u5916\uff0c\u6709\u4e00\u4e9b\u852c\u83dc\u542b\u6709\u4e30\u5bcc\u7684\u94be\u3001\u9499\u3001\u94a0\u3001\u94c1\u8d28\u7b49\u78b1\u6027\u77ff\u7269\u8d28\uff0c\u4e0d\u4ec5\u80fd\u5e73\u7a33\u8840\u6db2\u4e2d\u7684\u9178\u78b1\u503c\uff0c\u4e5f\u662f\u5c0f\u670b\u53cb\u751f\u957f\u9700\u8981\u7684\u8425\u517b\u7d20\u91cd\u8981\u6765\u6e90\u3002&lt;\/p&gt;","type":"3","publishid":"1","publishname":"11","publishtime":"2018-04-13","commentsnum":"0","commentslist":"","ifshow":"0","pic":"Public\/articleimage\/lunbo\/20180417045943.jpg"}]}}###{"type":"3","page":"1"}############null
Lunbo/img###5abf84343ed85###2018-07-16 12:12:35###[]###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"img":"..\/..\/Public\/uploads\/lunbo\/\/home_banner.png","hosid":"1","lng":"114.49478","lat":"36.634299"},{"img":"..\/..\/Public\/uploads\/lunbo\/\/topline2.png","hosid":"2","lng":"114.398929","lat":"36.371548"}]}###[]###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:12:39###{"lng":"114.563793","lat":"38.003266"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563793","lat":"38.003266"}###null###null###null###null
Collection/posDetil###5a9deca9afd2d###2018-07-16 12:12:42###{"pid":"1"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"1","hos_pic":["Public\/uploads\/hos\/20180413032354.jpg","Public\/uploads\/hos\/20180428073916.jpg"],"hos_phone":"0310-3136084","hospitalname":"\u7504\u8fde\u589e\u9aa8\u79d1\u8bca\u6240","star":"3.0000","hos_address":"\u90af\u90f8\u5e02\u4e1b\u53f0\u533a\u8054\u9632\u8def20\u8def\u5317\uff08\u68c9\u4e09\u533b\u9662\u4e1c\u4fa7\uff09","hos_intro":"\u7504\u8fde\u589e\u5927\u592b\u672c\u4eba\u4eb2\u81ea\u5750\u8bca.\u5f00\u8bbe\u7279\u8272\u7597\u6cd5:\u8170\u690e\u95f4\u76d8\u7a81\u51fa.\u9888\u690e\u75c5.\u80a9\u5173\u8282,\u9aa8\u6027\u5173\u8282\u708e\u7b49\u75c5\u75c7. \u91c7\u7528\u7504\u6c0f(\u624b\u6cd5\u6b63\u4f4d.\u4e2d\u836f\u70ed\u6577)\u548c\u7efc\u5408\u7597\u6cd5(\u4e09\u6c27.\u5fae\u521b\u6cbb\u7597\u5f39\u5bfc\u9488\u7b49\u591a\u79cd\u7597\u6cd5)\u5177\u6709\u65e0\u75db\u82e6.\u89c1\u6548\u5feb.\u7597\u7a0b\u77ed.\u6cbb\u6108\u7387\u9ad8\u7b49\u7279\u70b9.\u7504\u8fde\u589e\u5927\u592b\u4ece\u4e1a\u9aa8\u79d140\u591a\u5e74,\u5728\u9aa8\u79d1\u75be\u75c5\u79ef\u7d2f\u591a\u5e74\u7ecf\u9a8c,\u771f\u6b63\u4e3a\u60a3\u8005\u51cf\u8f7b\u75c5\u75db\u4e0e\u8d1f\u62c5.\u6b22\u8fce\u5e7f\u5927\u60a3\u8005\u54a8\u8be2\u4e0e\u5c31\u8bca.","mainwork":"   \u8170\u690e\u95f4\u76d8\u7a81\u51fa.\u9888\u690e\u75c5.\u9aa8\u6027\u5173\u8282\u708e\u7b49\u75c5\u75c7. \u91c7\u7528\u7504\u6c0f(\u624b\u6cd5\u6b63\u4f4d.\u4e2d\u836f\u70ed\u6577)\u548c\u7efc\u5408\u7597\u6cd5(\u4e09\u6c27.\u5fae\u521b\u6cbb\u7597.\u5bfc\u5f39\u9488\u7b49\u591a\u79cd\u7597\u6cd5)\u5177\u6709\u65e0\u75db\u82e6.\u89c1\u6548\u5feb.\u7597\u7a0b\u77ed.\u6cbb\u6108\u7387\u9ad8\u7b49\u7279","equipment":"\u89c2\u7247\u706f","test":"\u73af\u5883\u536b\u751f\uff0c\u6574\u6d01","charge":"123","ifyibao":"1","ifvisits":"1","video":"..\/..\/Public\/uploads\/video\/\/FastAndroid-mini.mp4","lng":"114.49478","lat":"36.634299","children1":[{"id":"3","pic":"..\/..\/Public\/uploads\/doctor\/\/mrtx.jpg","doctorname":"\u5f20\u6653\u65ed","jobtitle":"\u533b\u751f","departmentname":"\u4e2d\u533b\u79d1","specialty":"\u63a5\u9aa8","hospitalname":"\u7504\u8fde\u589e\u9aa8\u79d1\u8bca\u6240"},{"id":"4","pic":"..\/..\/Public\/uploads\/doctor\/\/mrtx.jpg","doctorname":"\u738b\u6653\u5cf0","jobtitle":"\u533b\u751f","departmentname":"\u4e2d\u533b\u79d1","specialty":"\u63a5\u9aa8","hospitalname":"\u7504\u8fde\u589e\u9aa8\u79d1\u8bca\u6240"}],"children2":[{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u9898\u56fe","comtime":"2018-03-29 18:51:05"},{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u597d\u7684\uff0c\u3002\u540e\u819c","comtime":"2018-04-02 19:16:24"},{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u597d","comtime":"2018-04-03 17:50:50"},{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u4f60\u4eec","comtime":"2018-04-08 14:00:52"},{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u4e0d\u9519\u4e86","comtime":"2018-04-08 14:09:46"},{"username":"\u70b9\u51fb\u4fee\u6539\u6635\u79f0","headphoto":"Public\/uploads\/updateimg\/\/20180329095615.jpg","comment":"\u54c8\u54c8\u4e0d\u9519\u533b\u9662\uff0c","comtime":"2018-04-08 14:13:55"}],"state":"0"}]}###{"pid":"1"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:12:49###{"lng":"114.563809","lat":"38.003216"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563809","lat":"38.003216"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:13:40###{"lng":"114.563798","lat":"38.003228"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563798","lat":"38.003228"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:14:50###{"lng":"114.563817","lat":"38.003216"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563817","lat":"38.003216"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:24:50###{"lng":"114.563817","lat":"38.003217"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563817","lat":"38.003217"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-07-16 12:25:00###{"lng":"114.563809","lat":"38.003222"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.563809","lat":"38.003222"}###null###null###null###null
