Collection/posDetil###5a9deca9afd2d###2018-09-08 12:00:25###{"pid":"2"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"2","hos_pic":["Public\/uploads\/hos\/20180413032354.jpg","Public\/uploads\/hos\/20180413032357.jpg"],"hos_phone":"13931042695","hospitalname":"\u78c1\u53bf\u90ed\u6d77\u65b0\u9aa8\u79d1\u8bca\u6240","star":null,"hos_address":"\u90af\u90f8\u5e02\u78c1\u53bf\u78c1\u5dde\u9547\u4e1c\u73af\u8def\u5047\u5c71\u5f80\u531750\u7c73\u8def\u897f","hos_intro":"\u90ed\u6d77\u65b0\u533b\u5e08\u591a\u5e74\u6765\u6f5c\u5fc3\u7814\u7a76\u98ce\u6e7f\u9aa8\u75c5\uff0c\u6709\u4e30\u5bcc\u7684\u4e34\u5e8a\u5b9e\u8df5\u7ecf\u9a8c\uff0c\u62ef\u6551\u75c5\u60a3\u4e0d\u8ba1\u5176\u6570\uff0c\u6df1\u53d7\u5168\u53bf\u8001\u767e\u59d3\u597d\u8bc4\u3002","mainwork":"\u7279\u8272\u63a5\u9aa8\u672f\uff0c\u9aa8\u6298\uff0c\u9aa8\u521b\u4f24\uff0c\u6253\u94a2\u677f\uff0c\u808c\u8171\u543b\u5408\u6280\u672f\u4e00\u6d41\uff0c\u53e6\u5916\u627f\u63a5\u5404\u79cd\u4e2d\u5c0f\u624b\u672f\uff0c\u9611\u5c3e\uff0c\u759d\u6c14\uff0c\u6d45\u8868\u80bf\u7624\uff0c\u5185\u75d4\uff0c\u5916\u75d4\uff0c\u6df7\u5408\u75d4\uff0c\u7b49\u624b\u672f\u6280\u672f\u8fc7\u786c\u30021","equipment":"\u65b0\u8fd1\u8fdb\u53e3DR(\u9ad8\u6e05\u6570\u5b57X\u5149\u673a\uff09\uff0c\u56db\u7ef4\u5f69\u8d85\uff0cC\u578b\u81c2\uff0c\u9ad8\u500d\u663e\u5fae\u955c\uff0c\u751f\u5316\u4eea\uff0c\u7cbe\u5b50\u5206\u6790\u4eea\uff0c\u5fae\u91cf\u5143\u7d20\uff0c\u8840\u7403\u4eea\uff0c\u4e73\u817a\u4eea\uff0c\u4e0d\u5b55\u75c7\u6cbb\u7597\u4eea","test":"\u73af\u5883\u536b\u751f\uff0c\u6574\u6d01","charge":"\u6536\u8d39\u5408\u7406\uff0c\u68c0\u67e5\u8d39\u5168\u53bf\u6700\u4f4e,\u901a\u8fc7APP\u524d\u6765\u5c31\u8bca\u60a3\u8005\u53ef\u4ee5\u4eab\u53d78\u6298\u4f18\u60e0\u3002\n","ifyibao":"1","ifvisits":"1","video":"..\/..\/Public\/uploads\/video\/\/FastAndroid-mini.mp4","lng":"114.398929","lat":"36.371548","children1":[{"id":"1","pic":"..\/Public\/uploads\/updateimg\/\/20180605105236.png","doctorname":"\u5f20\u5e0c","jobtitle":"\u4e3b\u6cbb\u533b\u751f13931042694","departmentname":"\u513f\u79d1","specialty":"\u7279\u8272\u63a5\u9aa8\u672f\uff0c\u9aa8\u6298\uff0c\u9aa8\u521b\u4f24\uff0c\u6253\u94a2\u677f\uff0c\u808c\u8171\u543b\u5408\u6280\u672f\u4e00\u6d41\uff0c\u53e6\u5916\u627f\u63a5\u5404\u79cd\u4e2d\u5c0f\u624b\u672f\uff0c\u9611\u5c3e\uff0c\u759d\u6c14\uff0c\u6d45\u8868\u80bf\u7624\uff0c\u5185\u75d4\uff0c\u5916\u75d4\uff0c\u6df7\u5408\u75d4\uff0c\u7b49\u624b\u672f\u6280\u672f\u8fc7\u786c\u3002","hospitalname":"\u78c1\u53bf\u90ed\u6d77\u65b0\u9aa8\u79d1\u8bca\u6240"},{"id":"5","pic":"..\/..\/Public\/uploads\/doctor\/\/mrtx.jpg","doctorname":"\u90ed\u6d77\u65b0","jobtitle":"\u4e3b\u6cbb\u5927\u592b","departmentname":"\u513f\u79d1","specialty":"\u7279\u8272\u63a5\u9aa8\u672f\uff0c\u9aa8\u6298\uff0c\u9aa8\u521b\u4f24\uff0c\u6253\u94a2\u677f\uff0c\u808c\u8171\u543b\u5408\u6280\u672f\u4e00\u6d41\uff0c\u53e6\u5916\u627f\u63a5\u5404\u79cd\u4e2d\u5c0f\u624b\u672f\uff0c\u9611\u5c3e\uff0c\u759d\u6c14\uff0c\u6d45\u8868\u80bf\u7624\uff0c\u5185\u75d4\uff0c\u5916\u75d4\uff0c\u6df7\u5408\u75d4\uff0c\u7b49\u624b\u672f\u6280\u672f\u8fc7\u786c\u3002","hospitalname":"\u78c1\u53bf\u90ed\u6d77\u65b0\u9aa8\u79d1\u8bca\u6240"},{"id":"51","pic":"..\/..\/Public\/uploads\/doctor\/\/mrtx.jpg","doctorname":"\u90ed\u6d77\u65b0","jobtitle":"\u4e3b\u6cbb\u5927\u592b","departmentname":"\u7406\u7597\u63a8\u62ff\u79d1","specialty":"\u7279\u8272\u63a5\u9aa8\u672f\uff0c\u9aa8\u6298\uff0c\u9aa8\u521b\u4f24\uff0c\u6253\u94a2\u677f\uff0c\u808c\u8171\u543b\u5408\u6280\u672f\u4e00\u6d41\uff0c\u53e6\u5916\u627f\u63a5\u5404\u79cd\u4e2d\u5c0f\u624b\u672f\uff0c\u9611\u5c3e\uff0c\u759d\u6c14\uff0c\u6d45\u8868\u80bf\u7624\uff0c\u5185\u75d4\uff0c\u5916\u75d4\uff0c\u6df7\u5408\u75d4\uff0c\u7b49\u624b\u672f\u6280\u672f\u8fc7\u786c\u3002\n","hospitalname":"\u78c1\u53bf\u90ed\u6d77\u65b0\u9aa8\u79d1\u8bca\u6240"}],"children2":[],"state":"0"}]}###{"pid":"2"}###null###null###null###null
######2018-09-08 12:00:25###{"type":"2"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"33","photo":"..\/..\/Public\/uploads\/touImg\/\/20180331090636.png","use_state":"2"},{"id":"34","photo":"..\/..\/Public\/uploads\/touImg\/\/20180331090646.png","use_state":"2"}]}###{"type":"2"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:00:27###{"lng":"114.55364","lat":"37.998616"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.55364","lat":"37.998616"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:00:27###{"lng":"114.553649","lat":"37.998587"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553649","lat":"37.998587"}###null###null###null###null
Hot/pinglun###5af3a425e5b23###2018-09-08 12:00:28###{"id":"318"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"state":"success"}}###{"id":"318"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:00:29###{"lng":"114.55364","lat":"37.998616"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.55364","lat":"37.998616"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:00:29###{"lng":"114.553649","lat":"37.998587"}###null###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553649","lat":"37.998587"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:12:22###{"lng":"114.553707","lat":"37.998572"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553707","lat":"37.998572"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:15:53###{"lng":"114.55366","lat":"37.998564"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.55366","lat":"37.998564"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:17:53###{"lng":"114.553697","lat":"37.998588"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553697","lat":"37.998588"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:18:04###{"lng":"114.553739","lat":"37.998554"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553739","lat":"37.998554"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:22:04###{"lng":"114.553714","lat":"37.998624"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553714","lat":"37.998624"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:22:21###{"lng":"114.553702","lat":"37.998539"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553702","lat":"37.998539"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:23:07###{"lng":"114.553719","lat":"37.998526"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553719","lat":"37.998526"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:30:44###{"lng":"114.553706","lat":"37.998557"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553706","lat":"37.998557"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:31:01###{"lng":"114.55367","lat":"37.998598"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.55367","lat":"37.998598"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:31:17###{"lng":"114.553677","lat":"37.998599"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553677","lat":"37.998599"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:31:33###{"lng":"114.553745","lat":"37.998578"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553745","lat":"37.998578"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:39:15###{"lng":"114.553662","lat":"37.998564"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553662","lat":"37.998564"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:48:02###{"lng":"114.553734","lat":"37.998507"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.553734","lat":"37.998507"}###null###null###null###null
Near/nearlist###5aa77558e6793###2018-09-08 12:50:47###{"lng":"114.55368","lat":"37.998592"}###93501e5ae57a563191ae8297394b1664###null###27###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"lng":"114.55368","lat":"37.998592"}###null###null###null###null
